,Rank, University, Size, M10, G10, P10, C40, C60, C80, USN, Scholar, ID,University,ID,school
80,81, Case Western Reserve University  ,18,71.0,61.725880000000004,0.442342,6,2,0,2.4,2.4293709999999997,12,Case Western Reserve University,12,Case Western Reserve University
81,82, Worcester Polytechnic Institute  ,27,57.0,55.58999,0.371348,7,3,0,2.2,2.418756,174,Worcester Polytechnic Institute,174,Worcester Polytechnic Institute
82,83, University of Houston  ,24,60.0,54.51311,0.359123,11,1,0,2.1,2.413936,112,University of Houston,112,University of Houston
83,84, Wayne State University  ,20,65.0,68.57072,0.433033,7,1,1,2.0,2.4043669999999997,171,Wayne State University,171,Wayne State University
84,85, New Jersey Institute of Technology  ,29,49.0,40.978629999999995,0.345835,9,4,0,2.2,2.401261,51,New Jersey Institute of Technology,51,New Jersey Institute of Technology 
85,86, University of Memphis  ,11,72.0,63.64212,0.433741,4,2,1,0.0,2.3857060000000003,127,University of Memphis,127,University of Memphis 
86,87, University of New Mexico  ,17,55.0,65.10027,0.41455299999999995,6,2,1,2.3,2.383132,136,University of New Mexico,136,University of New Mexico
87,88, Drexel University  ,19,54.0,65.3267,0.417221,6,2,0,2.2,2.38002,22,Drexel University,22,Drexel University
88,89, Tufts University  ,16,61.5,64.10936,0.39861599999999997,5,2,2,2.4,2.378514,83,Tufts University,83,Tufts University
89,90, West Virginia University  ,21,60.5,38.916109999999996,0.338792,8,2,0,2.0,2.341832,172,West Virginia University,172,West Virginia University 
90,91, Brandeis University  ,14,59.0,34.16264,0.38979,6,4,0,2.3,2.341568,6,Brandeis University,6,Brandeis University
91,92, University of Iowa  ,20,55.5,59.21691,0.382947,5,2,0,2.6,2.337286,116,University of Iowa,116,University of Iowa
92,93, Brigham Young University  ,31,49.5,39.35324,0.338165,7,3,1,2.2,2.318991,7,Brigham Young University,7,Brigham Young University
93,94, Oregon State University  ,36,57.0,47.48598,0.325955,8,1,0,2.5,2.314525,66,Oregon State University,66,Oregon State University
94,95, University of Kansas  ,23,46.0,47.16029,0.320345,5,3,0,2.3,2.289898,117,University of Kansas,117,University of Kansas
95,96, Georgia State University  ,19,45.0,49.74545,0.36004,6,2,1,2.0,2.281971,31,Georgia State University,31,Georgia State University
96,97, University of Connecticut  ,24,60.0,50.05151,0.345536,5,1,0,2.3,2.265287,106,University of Connecticut,106,University of Connecticut
97,98, University of Texas - San Antonio  ,24,57.5,42.93936,0.346077,6,1,1,0.0,2.2507349999999997,156,University of Texas - San Antonio,156,University of Texas at San Antonio
98,99, University of Georgia  ,21,51.0,47.81499,0.340175,4,2,0,2.2,2.244758,110,University of Georgia,110,University of Georgia
99,100, University at Albany - SUNY  ,18,58.0,49.06335,0.33924899999999997,4,1,0,2.1,2.225075,84,University at Albany - SUNY,84,University at Albany - SUNY 
100,101, Iowa State University  ,27,42.0,45.293890000000005,0.332598,5,2,1,2.6,2.223903,36,Iowa State University,36,Iowa State University
101,102, Syracuse University  ,26,38.0,34.300670000000004,0.325683,6,3,2,2.5,2.2200189999999997,78,Syracuse University,78,Syracuse University 
