name,pms,totals,gcite,papers,n_papers,citations,h-index,i10,csrp,csrpn,,,,,,,,,,,,,,
Roger B. Dannenberg,0.7,6.6,272,108,42.8,7443,45,120,3,1.3,,,,,,,,,,,,,,
Dana S. Scott,1.1,2.6,210,28,19.1,22570,55,128,2,0.5,,,,,,,,,,,,,,
K. V. Rashmi,2.1,1.5,284,18,3.7,2356,18,19,2,0.4,,,,,,,,,,,,,,
Priya Narasimhan,2.6,4.3,196,113,32.2,5069,36,89,2,0.5,,,,,,,,,,,,,,
Travis D. Breaux,1.2,2.4,82,51,20.1,2016,23,37,2,0.3,,,,,,,,,,,,,,
Geoff F. Kaufman,0.2,0.3,4,9,2.9,1420,10,10,1,0.3,,,,,,,,,,,,,,
Heather Miller,0.5,0.4,21,11,3.4,277,8,8,1,0.2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
