rank,uni,measured,predicted,combined
307,Qualcomm,2427,504,1515
308,Institut Eurécom,2802,358,1511
309,Lehigh University,2893,329,1507
310,Radboud University Nijmegen,2719,375,1501
311,University of Vienna,2532,437,1495
312,Spanish National Research Council,2479,455,1491
313,Oracle Corporation,2154,631,1490
314,Newcastle University,2158,620,1484
315,Free University of Berlin,2809,335,1484
316,University of Bergen,2753,349,1482
317,Southeast University,2202,587,1481
318,Colorado State University,2521,414,1466
319,Hasso Plattner Institute,2534,404,1461
320,Xidian University,2042,668,1460
321,Pierre-and-Marie-Curie University,3004,260,1442
322,New Jersey Institute of Technology,2537,384,1440
323,University of Texas at San Antonio,2419,425,1436
324,IT University of Copenhagen,2508,385,1429
325,fondazione bruno kessler,2121,548,1413
326,University of Kentucky,2372,414,1405
327,Institute of Science and Technology Austria,1804,782,1404
328,University of Auckland,2351,418,1400
329,University of Paderborn,2481,363,1394
330,University of South Florida,2629,316,1392
331,National Institute of Advanced Industrial Science and Technology,2345,411,1391
332,University of São Paulo,2267,427,1374
333,Syracuse University,2348,393,1373
334,Telefónica,2611,305,1371
335,Helsinki Institute for Information Technology,2159,467,1364
336,Florida International University,2308,395,1359
337,Technicolor,2345,380,1358
338,University of Mannheim,2334,379,1353
339,University of Bath,2668,272,1345
340,Dalian University of Technology,1921,583,1343
341,Aristotle University of Thessaloniki,2471,321,1340
342,Institute for Advanced Study,2232,402,1335
343,"University of Maryland, Baltimore County",2223,403,1332
344,University of Iowa,2142,434,1327
345,National Technical University of Athens,1990,506,1320
346,Emory University,2413,322,1319
347,Istituto di Scienza e Tecnologie dell'Informazione,2540,278,1308
348,Portland State University,2218,371,1297
349,Monash University,2192,380,1296
350,Tampere University of Technology,2216,366,1291
351,IMDEA,1575,794,1282
352,National Institute of Standards and Technology,2713,222,1280
353,"Cisco Systems, Inc.",2246,343,1278
354,Norwegian University of Science and Technology,2507,262,1273
355,Technical University of Dortmund,2007,435,1269
356,Swinburne University of Technology,2584,232,1254
357,Polytechnic University of Valencia,2051,389,1246
358,University of Verona,2620,220,1246
359,University of Saskatchewan,2047,386,1241
360,Brigham Young University,2302,292,1239
361,Keio University,2115,346,1229
362,University of Groningen,2476,236,1223
363,IMEC,2657,198,1219
364,Tufts University,2104,335,1212
365,Instituto Superior Técnico,1981,383,1210
366,Kaiserslautern University of Technology,2237,285,1206
367,University of Crete,2437,226,1194
368,Lear Corporation,3485,98,1194
